Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Included / AUD,Price / AUD,Compare At Price / AUD,Included / CAD,Price / CAD,Compare At Price / CAD,Included / GBP,Price / GBP,Compare At Price / GBP,Included / INR,Price / INR,Compare At Price / INR,Included / NLD,Price / NLD,Compare At Price / NLD,Status
vellanki-drumstick-pickle,,,,,,,,,500gms,,,,,vellanki-drumstick-pickle-1,500,,-3,deny,manual,12.5,12.5,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0568/6267/1023/products/drum_20stick_20new_720x400-720x400_3b629437-78d5-4560-b188-0de6475a3449.jpg?v=1654494267,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0568/6267/1023/products/drum_20stick_20new_720x400-720x400_36e595a4-c771-4300-9038-ca8b951f8b33.jpg?v=1672859441,g,,,,,,,,,,,9.5,10.5,,300,,,10.5,11.5,
vellanki-drumstick-pickle,,,,,,,,,1 Kg,,,,,vellanki-drumstick-pickle-2,1000,,0,deny,manual,22.5,23,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0568/6267/1023/products/drum_20stick_20new_720x400-720x400_a0ff783c-4da4-4fd0-b085-333ba1544cdb.jpg?v=1663793841,3,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0568/6267/1023/products/drum_20stick_20new_720x400-720x400_36e595a4-c771-4300-9038-ca8b951f8b33.jpg?v=1672859441,g,,,,,,,,,,,19.5,19.5,,593,,,21,21.5,
vellanki-drumstick-pickle,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0568/6267/1023/products/drum_20stick_20new_720x400-720x400_36e595a4-c771-4300-9038-ca8b951f8b33.jpg?v=1672859441,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vellanki-hot-biscuits,Hot Biscuits,"<div>
                        <h4>DESCRIPTION</h4>
                                <p>
                                
If you’ve got kids coming home from school, you know that they’re ravenous and will throw a tantrum if they’re not given anything delicious to watch their cartoons with. With hot biscuits from Vellanki Foods, you can ensure that such a thing never happens!


Made with maida, butter, salt and ajjwain, hot biscuits from Vellanki Foods ticks all the boxes of a perfect snack! Order our hot biscuits today and see how they make a difference to evening snack time for everyone in your family!

                                </p>
                        <h4>INGREDIENTS</h4>
                                <ul>
                                  <li>Maida, Butter, Salt,     Sunflower Oil, Ajwain.</li>
                                </ul>
                    </div>",Vellanki Foods,,,"GN:Savories, HSN:21069099, Namkeen, Indian Snacks",TRUE,Size,250gms,,,,,vellanki-hot-biscuits-0,250,,16,deny,manual,7,10,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0568/6267/1023/products/Hot_Biscuits-720x400.jpg?v=1649734821,1,vellanki-hot-biscuits-cherrypick,FALSE,Buy Vellanki Foods Hot Biscuits Online | Cherrypick,,,,,,,,,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0568/6267/1023/products/Hot_Biscuits-720x400_4d7db685-9e42-4a2c-8b0a-b73159b1fd87.jpg?v=1672859363,g,,,TRUE,TRUE,,,TRUE,,,TRUE,5.5,7.5,TRUE,175,,TRUE,6.5,8.5,active
vellanki-hot-biscuits,,,,,,,,,500gms,,,,,vellanki-hot-biscuits-1,500,,1,deny,manual,13.5,14,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0568/6267/1023/products/Hot_Biscuits-720x400_1950ed5c-6be7-4a8d-9c18-081a765b4884.jpg?v=1654494218,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0568/6267/1023/products/Hot_Biscuits-720x400_4d7db685-9e42-4a2c-8b0a-b73159b1fd87.jpg?v=1672859363,g,,,,,,,,,,,10.5,11,,352,,,11.5,12.5,
vellanki-hot-biscuits,,,,,,,,,1 Kg,,,,,vellanki-hot-biscuits-2,1000,,0,deny,manual,26,26.5,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0568/6267/1023/products/Hot_Biscuits-720x400_8ca1c5fa-c2cc-4058-a185-bceba0cc8132.jpg?v=1663794120,3,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0568/6267/1023/products/Hot_Biscuits-720x400_4d7db685-9e42-4a2c-8b0a-b73159b1fd87.jpg?v=1672859363,g,,,,,,,,,,,20.5,21,,697,,,22.5,22.5,
vellanki-hot-biscuits,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0568/6267/1023/products/Hot_Biscuits-720x400_4d7db685-9e42-4a2c-8b0a-b73159b1fd87.jpg?v=1672859363,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vellanki-mixed-veg-pickle,Mixed Veg Pickle,"<div>
                        <h4>DESCRIPTION</h4>
                                <p>
                                A wholesome meal is never complete without a pickle. At Vellanki Foods, we’ve got carrots, cabbages and potatoes going into the making of an extraordinary pickle that is sure to make your meal more wholesome than ever!
Traditionally, the Mixed Vegetable Pickle was prepared seasonally, during the time when vegetables were available in abundance. At Vellanki Foods, we understand that your love for the pickle knows no limits, and ensure that this delicious pickle is freshly available to you throughout the year!

                                </p>
                        <h4>INGREDIENTS</h4>
                                <ul>
                                  <li>Cabbage, Carrot, Potato, Garlic, Tamarind, Fenugreek powder, Mustard powder, Lemon, Salt, Chilli powder, Groundnut oil</li>
                                </ul>
                    </div>",Vellanki Foods,,,"GN:Indian Pickles, Indian Pickles, HSN:21069099, pickles",TRUE,Size,250gms,,,,,vellanki-mixed-veg-pickle-0,250,,9,deny,manual,6,8.5,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0568/6267/1023/products/Mixed_Veg_Pickle-720x400.jpg?v=1649734822,1,vellanki-mixed-veg-pickle-cherrypick,FALSE,Buy Vellanki Foods Mixed Veg Pickle Online | Cherrypick,,,,,,,,,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0568/6267/1023/products/Mixed_Veg_Pickle-720x400_dc61784c-094b-4410-af8b-07c283c5b5fd.jpg?v=1672859195,g,,,TRUE,TRUE,,,TRUE,,,TRUE,5,7.5,TRUE,154,,TRUE,6.5,8,active
vellanki-mixed-veg-pickle,,,,,,,,,500gms,,,,,vellanki-mixed-veg-pickle-1,500,,-2,deny,manual,12.5,12.5,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0568/6267/1023/products/Mixed_Veg_Pickle-720x400_7b72a6de-902f-4baf-adc9-257cbadd9d3d.jpg?v=1654494100,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0568/6267/1023/products/Mixed_Veg_Pickle-720x400_dc61784c-094b-4410-af8b-07c283c5b5fd.jpg?v=1672859195,g,,,,,,,,,,,10,10.5,,310,,,10.5,12,
vellanki-mixed-veg-pickle,,,,,,,,,1 Kg,,,,,vellanki-mixed-veg-pickle-2,1000,,0,deny,manual,22.5,23.5,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0568/6267/1023/products/Mixed_Veg_Pickle-720x400_3be26a1f-c6cc-4dac-9f58-0fef396c79e6.jpg?v=1663794054,3,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0568/6267/1023/products/Mixed_Veg_Pickle-720x400_dc61784c-094b-4410-af8b-07c283c5b5fd.jpg?v=1672859195,g,,,,,,,,,,,19.5,20,,614,,,21.5,21.5,
vellanki-mixed-veg-pickle,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0568/6267/1023/products/Mixed_Veg_Pickle-720x400_dc61784c-094b-4410-af8b-07c283c5b5fd.jpg?v=1672859195,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vellanki-gorumitilu,Gorumitilu,"<div>
                        <h4>DESCRIPTION</h4>
                                <p>
                                
The crunch of murukkulu, the sweetness of bellamu, and the addictiveness of any traditional Andhra sweet - that is Gorumitilu for you. Some sweets are specifically prepared for occasions while others, like Gorumitilu, can make everyday special.  Gorumitilu is prepared with maida and jaggery, and is one of the most popular dishes at Vellanki Foods.


Try a bagful of this delicacy with your friends and family to immediately pump up the fun in your life!

                                </p>
                        <h4>INGREDIENTS</h4>
                                <ul>
                                  <li>Maida,  Jaggery, Oil .</li>
                                </ul>
                    </div>",Vellanki Foods,,,"HSN:21069099, Sweets, Indian Sweets",TRUE,Size,250gms,,,,,vellanki-gorumitilu-0,250,,-3,deny,manual,6.5,8.5,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0568/6267/1023/products/Gorumitilu-_1_-720x400.jpg?v=1649734822,1,vellanki-gorumitilu-cherrypick,FALSE,Buy Vellanki Foods Gorumitilu Online | Cherrypick,,,,,,,,,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0568/6267/1023/products/Gorumitilu-_1_-720x400_0c89eb0e-acd4-4d83-806f-6e257cfb8330.jpg?v=1672859344,g,,,TRUE,TRUE,,,TRUE,,,TRUE,5.5,7.5,TRUE,175,,TRUE,6.5,8.5,active
vellanki-gorumitilu,,,,,,,,,500gms,,,,,vellanki-gorumitilu-1,500,,-1,deny,manual,13,13.5,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0568/6267/1023/products/Gorumitilu-720x400.jpg?v=1649734822,2,vellanki-gorumitilu-cherrypick,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0568/6267/1023/products/Gorumitilu-_1_-720x400_0c89eb0e-acd4-4d83-806f-6e257cfb8330.jpg?v=1672859344,g,,,,,,,,,,,10.5,11,,352,,,11.5,12.5,
vellanki-gorumitilu,,,,,,,,,1 Kg,,,,,vellanki-gorumitilu-2,1000,,-2,deny,manual,24,24.5,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0568/6267/1023/products/Gorumitilu-_1_-720x400_699d0138-dfe9-4ca8-ae25-a8c3e4e26ed3.jpg?v=1654494186,3,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0568/6267/1023/products/Gorumitilu-_1_-720x400_0c89eb0e-acd4-4d83-806f-6e257cfb8330.jpg?v=1672859344,g,,,,,,,,,,,20.5,21,,697,,,22.5,22.5,
vellanki-gorumitilu,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0568/6267/1023/products/Gorumitilu-_1_-720x400_0c89eb0e-acd4-4d83-806f-6e257cfb8330.jpg?v=1672859344,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vellanki-red-chilli-gongura,Red Chilli Gongura,"<div>
                        
                        <h4>INGREDIENTS</h4>
                                <ul>
                                  <li>Redchilli, Gongura, Garlic, Fenugreek powder, Tamarind, Salt, Chilli powder, Groundnut oil</li>
                                </ul>
                    </div>",Vellanki Foods,,,"GN:Indian Pickles, Indian Pickles, HSN:21069099, pickles",FALSE,Size,250gms,,,,,vellanki-red-chilli-gongura-0,250,,18,deny,manual,8.5,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0568/6267/1023/products/gogura_20_20new-Edit_720x400-720x400.jpg?v=1649734823,1,vellanki-red-chilli-gongura-cherrypick,FALSE,Buy Vellanki Foods Red Chilli Gongura Online | Cherrypick,,,,,,,,,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0568/6267/1023/products/gogura_20_20new-Edit_720x400-720x400_95c046f7-1748-4df4-b7db-2471843b6894.jpg?v=1664348471,g,,,TRUE,TRUE,,,TRUE,,,TRUE,7.5,,TRUE,165,,TRUE,8.5,,draft
vellanki-red-chilli-gongura,,,,,,,,,500gms,,,,,vellanki-red-chilli-gongura-1,500,,19,deny,manual,13,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0568/6267/1023/products/gogura_20_20new-Edit_720x400-720x400_cd416b48-f70a-4d98-a323-b97530061421.jpg?v=1654494083,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0568/6267/1023/products/gogura_20_20new-Edit_720x400-720x400_95c046f7-1748-4df4-b7db-2471843b6894.jpg?v=1664348471,g,,,,,,,,,,,10.5,,,331,,,12,,
vellanki-red-chilli-gongura,,,,,,,,,1 Kg,,,,,vellanki-red-chilli-gongura-2,1000,,0,deny,manual,24,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0568/6267/1023/products/gogura_20_20new-Edit_720x400-720x400_5cde1150-ec1b-49a4-b589-faa9e7d738d0.jpg?v=1663794052,3,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0568/6267/1023/products/gogura_20_20new-Edit_720x400-720x400_95c046f7-1748-4df4-b7db-2471843b6894.jpg?v=1664348471,g,,,,,,,,,,,20.5,,,655,,,22,,
vellanki-red-chilli-gongura,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0568/6267/1023/products/gogura_20_20new-Edit_720x400-720x400_95c046f7-1748-4df4-b7db-2471843b6894.jpg?v=1664348471,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vellanki-tindoora-pickle-donda-kaya-pickles,Tindoora Pickle (Donda Kaya Pickles),"<div>
                        
                        <h4>INGREDIENTS</h4>
                                <ul>
                                  <li>Tindoora, Garlic, Fenugreek powder, Mustard powder,  Salt, Chilli powder, Groundnut oil</li>
                                </ul>
                    </div>",Vellanki Foods,,,"GN:Indian Pickles, Indian Pickles, HSN:21069099, pickles",TRUE,Size,250gms,,,,,vellanki-tindoora-pickle-(donda-kaya-pickles)-0,250,,-2,deny,manual,6,8.5,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0568/6267/1023/products/Donda_Pickle-720x400.jpg?v=1649734824,1,vellanki-tindoora-pickle-donda-kaya-pickles-cherrypick,FALSE,Buy Vellanki Foods Tindoora Pickle (Donda Kaya Pickles) Online | Cherrypick,,,,,,,,,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0568/6267/1023/products/Donda_Pickle-720x400_e6fc77db-4184-4117-9ac8-1dbd9b77a028.jpg?v=1672859086,g,,,TRUE,TRUE,,,TRUE,,,TRUE,5,7.5,TRUE,149,,TRUE,6.5,8,active
vellanki-tindoora-pickle-donda-kaya-pickles,,,,,,,,,500gms,,,,,vellanki-tindoora-pickle-(donda-kaya-pickles)-1,500,,0,deny,manual,12.5,12.5,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0568/6267/1023/products/Donda_Pickle-720x400_5b8dc11c-11e0-4969-ae62-9a78ed0fdc1a.jpg?v=1654494079,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0568/6267/1023/products/Donda_Pickle-720x400_e6fc77db-4184-4117-9ac8-1dbd9b77a028.jpg?v=1672859086,g,,,,,,,,,,,9.5,10.5,,300,,,10.5,11.5,
vellanki-tindoora-pickle-donda-kaya-pickles,,,,,,,,,1 Kg,,,,,vellanki-tindoora-pickle-(donda-kaya-pickles)-2,1000,,-1,deny,manual,22.5,23,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0568/6267/1023/products/Donda_Pickle-720x400_c18f77f8-1695-494d-a540-48721341edcf.jpg?v=1663793853,3,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0568/6267/1023/products/Donda_Pickle-720x400_e6fc77db-4184-4117-9ac8-1dbd9b77a028.jpg?v=1672859086,g,,,,,,,,,,,19.5,19.5,,593,,,21,21.5,
vellanki-tindoora-pickle-donda-kaya-pickles,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0568/6267/1023/products/Donda_Pickle-720x400_e6fc77db-4184-4117-9ac8-1dbd9b77a028.jpg?v=1672859086,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vellanki-ragi-poosa,Ragi Poosa,"<div>
                        <h4>DESCRIPTION</h4>
                                <p>
                                This product brings you the goodness of Ragi in a way that you can enjoy with a hot of tea or just as a evening time snack. 
Ingredients: Ragi, Gram Flour, Butter, Ajwain, Sesame Seeds, Sunflower Oil, Spices
                                </p>
                        
                    </div>",Vellanki Foods,,,"HSN:21069099, Millet Specials",TRUE,Size,250g,,,,,vellanki-ragi-poosa-0,500,,16,deny,manual,11.5,11.5,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0568/6267/1023/products/DSC06557-min-720x400.jpg?v=1649734824,1,vellanki-ragi-poosa-cherrypick,FALSE,Buy Vellanki Foods Ragi Poosa Online | Cherrypick,,,,,,,,,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0568/6267/1023/products/DSC06557-min-720x400_380eaf92-f589-4d67-88a4-b5bfa3e4273f.jpg?v=1672859081,g,,,TRUE,TRUE,,,TRUE,,,TRUE,9,9.5,TRUE,224,,TRUE,9.5,10.5,active
vellanki-ragi-poosa,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0568/6267/1023/products/DSC06557-min-720x400_380eaf92-f589-4d67-88a4-b5bfa3e4273f.jpg?v=1672859081,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vellanki-mulaga-karammulaga-leaves,Mulaga Karam(Mulaga Leaves),"<div>
                        
                        <h4>INGREDIENTS</h4>
                                <ul>
                                  <li>Mulaga leaves</li>
                                </ul>
                    </div>",Vellanki Foods,,,"chilli powder, GN:Spices, HSN:21069099",FALSE,Size,250gms,,,,,vellanki-mulaga-karam(mulaga-leaves)-0,250,,1,deny,manual,9,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0568/6267/1023/products/Kothimeera_Karam-720x400.jpg?v=1649734825,1,vellanki-mulaga-karammulaga-leaves-cherrypick,FALSE,Buy Vellanki Foods Mulaga Karam(Mulaga Leaves) Online | Cherrypick,,,,,,,,,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0568/6267/1023/products/Kothimeera_Karam-720x400_7b5a8b3b-c71a-40ce-8525-c3036685ea39.jpg?v=1654494116,g,,,TRUE,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,draft
vellanki-mulaga-karammulaga-leaves,,,,,,,,,500gms,,,,,vellanki-mulaga-karam(mulaga-leaves)-1,500,,0,deny,manual,14,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0568/6267/1023/products/Kothimeera_Karam-720x400_7b5a8b3b-c71a-40ce-8525-c3036685ea39.jpg?v=1654494116,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0568/6267/1023/products/Kothimeera_Karam-720x400_7b5a8b3b-c71a-40ce-8525-c3036685ea39.jpg?v=1654494116,g,,,,,,,,,,,,,,,,,,,
vellanki-mulaga-karammulaga-leaves,,,,,,,,,1 Kg,,,,,vellanki-mulaga-karam(mulaga-leaves)-2,1000,,0,deny,manual,26.5,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0568/6267/1023/products/Kothimeera_Karam-720x400_7b5a8b3b-c71a-40ce-8525-c3036685ea39.jpg?v=1654494116,g,,,,,,,,,,,,,,,,,,,
vellanki-garlic-pickle,Garlic Pickle,"<div>
                        
                        <h4>INGREDIENTS</h4>
                                <ul>
                                  <li>Garlic,  Lemon juice, Fenugreek powder, Mustard powder, Turmeric, Salt, Chilli powder, Tamarind, Groundnut oil</li>
                                </ul>
                    </div>",Vellanki Foods,,,"GN:Indian Pickles, Indian Pickles, HSN:21069099, pickles",TRUE,Size,250gms,,,,,vellanki-garlic-pickle-0,250,,1,deny,manual,6.5,8.5,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0568/6267/1023/products/garlic_f-720x400.jpg?v=1649734825,1,vellanki-garlic-pickle-cherrypick,FALSE,Buy Vellanki Foods Garlic Pickle Online | Cherrypick,,,,,,,,,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0568/6267/1023/products/garlic_f-720x400_2ea5830b-c9a8-49a5-9fdc-f3cf34a15f9e.jpg?v=1672859434,g,,,TRUE,TRUE,,,TRUE,,,TRUE,5.5,7.5,TRUE,165,,TRUE,6.5,8.5,active
vellanki-garlic-pickle,,,,,,,,,500gms,,,,,vellanki-garlic-pickle-1,500,,19,deny,manual,12.5,13,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0568/6267/1023/products/garlic_f-720x400_8511fedd-1a72-47d2-8714-5da008ad9c37.jpg?v=1654494050,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0568/6267/1023/products/garlic_f-720x400_2ea5830b-c9a8-49a5-9fdc-f3cf34a15f9e.jpg?v=1672859434,g,,,,,,,,,,,10,10.5,,331,,,11,12,
vellanki-garlic-pickle,,,,,,,,,1 Kg,,,,,vellanki-garlic-pickle-2,1000,,-1,deny,manual,23.5,24,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0568/6267/1023/products/garlic_f-720x400_bba4a82e-7703-4e6a-8e7d-56a73d612fb9.jpg?v=1663793845,3,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0568/6267/1023/products/garlic_f-720x400_2ea5830b-c9a8-49a5-9fdc-f3cf34a15f9e.jpg?v=1672859434,g,,,,,,,,,,,20,20.5,,655,,,22,22,
vellanki-garlic-pickle,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0568/6267/1023/products/garlic_f-720x400_2ea5830b-c9a8-49a5-9fdc-f3cf34a15f9e.jpg?v=1672859434,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vellanki-drumstick-tomato,Drumstick Tomato,"<div>
                        
                        <h4>INGREDIENTS</h4>
                                <ul>
                                  <li>Drumstick, Tomatoes, Garlic, Tamarind, Fenugreek seeds, Mustard seeds, Salt, Chilli powder, Groundnut oil</li>
                                </ul>
                    </div>",Vellanki Foods,,,"GN:Indian Pickles, Indian Pickles, HSN:21069099, pickles",TRUE,Size,250gms,,,,,vellanki-drumstick-tomato-0,250,,12,deny,manual,6,8.5,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0568/6267/1023/products/drum_20stick_20tomato-Edit_720x400-720x400.jpg?v=1649734826,1,vellanki-drumstick-tomato-cherrypick,FALSE,Buy Vellanki Foods Drumstick Tomato Online | Cherrypick,,,,,,,,,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0568/6267/1023/products/drum_20stick_20tomato-Edit_720x400-720x400_a6df0838-2e37-48f9-88d0-2af37f5bfd7c.jpg?v=1672859444,g,,,TRUE,TRUE,,,TRUE,,,TRUE,5,7.5,TRUE,149,,TRUE,6.5,8,active
vellanki-drumstick-tomato,,,,,,,,,500gms,,,,,vellanki-drumstick-tomato-1,500,,-1,deny,manual,12.5,12.5,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0568/6267/1023/products/drum_20stick_20tomato-Edit_720x400-720x400_7a562ac1-85f2-4d9c-bd4e-19bd1ee7b649.jpg?v=1654494053,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0568/6267/1023/products/drum_20stick_20tomato-Edit_720x400-720x400_a6df0838-2e37-48f9-88d0-2af37f5bfd7c.jpg?v=1672859444,g,,,,,,,,,,,9.5,10.5,,300,,,10.5,11.5,
vellanki-drumstick-tomato,,,,,,,,,1 Kg,,,,,vellanki-drumstick-tomato-2,1000,,0,deny,manual,22.5,23,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0568/6267/1023/products/drum_20stick_20tomato-Edit_720x400-720x400_2f417d63-ff29-4870-bb8b-ea38c6ab71e8.jpg?v=1663793843,3,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0568/6267/1023/products/drum_20stick_20tomato-Edit_720x400-720x400_a6df0838-2e37-48f9-88d0-2af37f5bfd7c.jpg?v=1672859444,g,,,,,,,,,,,19.5,19.5,,593,,,21,21.5,
vellanki-drumstick-tomato,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0568/6267/1023/products/drum_20stick_20tomato-Edit_720x400-720x400_a6df0838-2e37-48f9-88d0-2af37f5bfd7c.jpg?v=1672859444,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vellanki-cauliflower-pickle,Cauliflower Pickle,"<div>
                        <h4>DESCRIPTION</h4>
                                <p>
                                
Cauliflower Pickle from Vellanki Foods seamlessly combines the crunchiness of cauliflowers with the flavours of the Telugu cuisine! While the idea of cauliflower in a pickle might sound new and different to the rest of the nation, people from Andhra Pradesh and Telangana have been enjoying it for decades!


To provide a unique twist to your conventional meals, order a bottle of the Cauliflower Pickle and reap the benefits of its distinctive tangy goodness. Among the wide range of pickles we make at Vellanki Foods, the cauliflower pickle is easily the crunchiest. With a long shelf life of three months, the pickle can also be shipped to the USA for your enjoyment, no matter where you are!

                                </p>
                        <h4>INGREDIENTS</h4>
                                <ul>
                                  <li>Cauliflower, Lemon, Tamarnid, Fenugreek powder, Mustard powder, Garlic, Salt, Chilli powder, Groundnut oil</li>
                                </ul>
                    </div>",Vellanki Foods,,,"GN:Pickles, HSN:21069099, pickles",FALSE,Size,250gms,,,,,vellanki-cauliflower-pickle-0,250,,1,deny,manual,8.5,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0568/6267/1023/products/Cauliflower_pickle-720x400_1bde6f78-c8e4-4981-89ae-e426f9e38138.jpg?v=1649734827,1,vellanki-cauliflower-pickle-cherrypick,FALSE,Buy Vellanki Foods Cauliflower Pickle Online | Cherrypick,,,,,,,,,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0568/6267/1023/products/Cauliflower_pickle-720x400_c3b6225c-e11d-413d-8817-4703945566de.jpg?v=1664348648,g,,,TRUE,TRUE,,,TRUE,,,TRUE,7.5,,TRUE,154,,TRUE,8,,draft
vellanki-cauliflower-pickle,,,,,,,,,500gms,,,,,vellanki-cauliflower-pickle-1,500,,1,deny,manual,12.5,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0568/6267/1023/products/Cauliflower_pickle-720x400_27d7f821-8d19-4cb1-94e4-2589103011a8.jpg?v=1663793869,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0568/6267/1023/products/Cauliflower_pickle-720x400_c3b6225c-e11d-413d-8817-4703945566de.jpg?v=1664348648,g,,,,,,,,,,,10.5,,,310,,,12,,
vellanki-cauliflower-pickle,,,,,,,,,1 Kg,,,,,vellanki-cauliflower-pickle-2,1000,,0,deny,manual,23.5,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0568/6267/1023/products/Cauliflower_pickle-720x400.jpg?v=1663799507,3,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0568/6267/1023/products/Cauliflower_pickle-720x400_c3b6225c-e11d-413d-8817-4703945566de.jpg?v=1664348648,g,,,,,,,,,,,20,,,614,,,21.5,,
vellanki-cauliflower-pickle,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0568/6267/1023/products/Cauliflower_pickle-720x400_c3b6225c-e11d-413d-8817-4703945566de.jpg?v=1664348648,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
